                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.64475,                0.62686,                0.96609,                0.93825,                0.85116,                0.92496,                0.65693,                0.95344,                 0.5911,                  1.069,              0.0008217,              0.0008217,              0.0008217
                     95,                0.67584,                0.64284,                0.97541,                0.94014,                0.85448,                0.92534,                0.65313,                0.96442,                0.60296,                 1.0793,             0.00081251,             0.00081251,             0.00081251
                     96,                0.70531,                0.65368,                0.99192,                0.93335,                 0.8643,                0.92823,                0.66908,                0.95313,                0.58524,                 1.0647,             0.00080332,             0.00080332,             0.00080332
                     97,                0.67922,                0.63422,                0.96577,                0.92235,                0.87919,                0.93099,                0.66155,                0.95156,                0.56704,                  1.066,             0.00079414,             0.00079414,             0.00079414
                     98,                0.65506,                0.63055,                0.96908,                0.93266,                0.85616,                0.93353,                0.65787,                 0.9444,                0.57515,                  1.064,             0.00078495,             0.00078495,             0.00078495
                     99,                0.66517,                0.63328,                0.97365,                0.93606,                0.86583,                0.93613,                0.65268,                0.95257,                0.57113,                 1.0706,             0.00077576,             0.00077576,             0.00077576
                    100,                0.65557,                0.62183,                0.95848,                0.90733,                0.88658,                 0.9336,                0.65111,                0.96155,                0.57449,                 1.0719,             0.00076657,             0.00076657,             0.00076657
                    101,                0.66442,                0.62062,                0.96746,                0.95003,                0.83692,                0.92441,                0.65702,                0.96243,                0.58594,                 1.0816,             0.00075738,             0.00075738,             0.00075738
                    102,                0.66762,                0.65912,                0.97974,                0.91005,                0.86972,                0.92761,                0.64858,                 0.9558,                0.58277,                 1.0776,              0.0007482,              0.0007482,              0.0007482
                    103,                0.65759,                0.60151,                0.97231,                0.93476,                0.87149,                 0.9343,                0.66679,                0.95896,                0.56709,                 1.0705,             0.00073901,             0.00073901,             0.00073901
                    104,                0.66322,                0.63969,                0.96412,                0.92839,                0.87245,                0.92702,                0.63928,                0.94828,                 0.5647,                 1.0791,             0.00072982,             0.00072982,             0.00072982
                    105,                0.64857,                0.62707,                0.95512,                 0.9085,                0.85635,                0.92714,                0.65239,                0.95601,                0.57504,                 1.0703,             0.00072063,             0.00072063,             0.00072063
                    106,                0.64057,                0.61835,                0.96391,                0.92371,                0.87542,                0.93079,                0.66123,                0.93826,                0.55156,                  1.063,             0.00071144,             0.00071144,             0.00071144
                    107,                0.66607,                0.64079,                0.98264,                0.91987,                0.87408,                0.92856,                0.65765,                0.95052,                0.57775,                 1.0818,             0.00070226,             0.00070226,             0.00070226
                    108,                0.63258,                 0.6105,                0.96196,                 0.9438,                0.86587,                   0.93,                 0.6593,                0.94721,                0.58116,                 1.0673,             0.00069307,             0.00069307,             0.00069307
                    109,                0.62155,                0.58812,                0.95668,                 0.9105,                0.88601,                0.93018,                0.67021,                0.94073,                0.56257,                 1.0591,             0.00068388,             0.00068388,             0.00068388
                    110,                0.64053,                0.59433,                0.94955,                0.92179,                0.86156,                0.92922,                0.66703,                0.93656,                0.58423,                  1.061,             0.00067469,             0.00067469,             0.00067469
                    111,                0.64119,                0.62074,                  0.951,                0.93528,                0.86923,                0.93919,                0.65499,                0.95785,                0.55057,                  1.074,              0.0006655,              0.0006655,              0.0006655
                    112,                0.64274,                0.62747,                0.96109,                0.92002,                0.87603,                0.92677,                0.67448,                0.94293,                0.56817,                 1.0633,             0.00065632,             0.00065632,             0.00065632
                    113,                0.64366,                0.63227,                0.94997,                 0.9153,                0.89212,                0.93156,                0.65696,                0.95635,                0.55382,                 1.0731,             0.00064713,             0.00064713,             0.00064713
                    114,                0.63786,                0.60886,                 0.9568,                0.93809,                0.88121,                0.93471,                0.67436,                0.94164,                0.55465,                 1.0569,             0.00063794,             0.00063794,             0.00063794
                    115,                0.62869,                0.57231,                0.94159,                0.94261,                  0.856,                0.92318,                0.66226,                0.95518,                0.58674,                  1.067,             0.00062875,             0.00062875,             0.00062875
                    116,                0.62509,                0.57482,                 0.9453,                0.92885,                0.87909,                0.93506,                0.67681,                0.93895,                0.54028,                 1.0607,             0.00061956,             0.00061956,             0.00061956
                    117,                0.61448,                0.58099,                0.93792,                0.91787,                 0.8794,                0.92951,                0.66728,                0.95056,                0.56921,                 1.0623,             0.00061038,             0.00061038,             0.00061038
                    118,                0.62523,                0.56205,                0.94345,                0.92335,                0.87049,                0.92653,                0.67626,                0.94426,                0.57258,                 1.0661,             0.00060119,             0.00060119,             0.00060119
                    119,                0.62147,                0.58214,                0.94877,                0.93825,                0.87107,                0.93532,                0.67182,                0.95515,                0.53769,                 1.0806,               0.000592,               0.000592,               0.000592
                    120,                0.62017,                0.56445,                0.94299,                0.92786,                0.87207,                 0.9287,                0.67848,                0.94546,                0.56926,                 1.0718,             0.00058281,             0.00058281,             0.00058281
                    121,                0.60104,                0.54697,                0.93958,                 0.9186,                0.87916,                0.92895,                0.68055,                0.92958,                0.55528,                 1.0603,             0.00057362,             0.00057362,             0.00057362
                    122,                0.61562,                0.54618,                0.93739,                0.92754,                0.87165,                0.92761,                0.66891,                0.94102,                0.58941,                 1.0697,             0.00056444,             0.00056444,             0.00056444
                    123,                0.60594,                 0.5669,                0.93349,                0.93395,                0.86632,                0.92763,                0.67479,                0.94577,                0.56884,                 1.0624,             0.00055525,             0.00055525,             0.00055525
                    124,                0.62244,                0.59241,                0.95279,                0.92395,                0.89234,                0.93799,                0.67956,                0.93212,                0.55326,                 1.0629,             0.00054606,             0.00054606,             0.00054606
                    125,                0.61869,                0.53682,                0.93245,                0.92984,                0.86971,                0.93243,                0.67927,                0.94198,                 0.5808,                 1.0693,             0.00053687,             0.00053687,             0.00053687
                    126,                0.60525,                0.54314,                0.93397,                 0.9212,                0.88525,                0.93146,                0.68506,                0.92846,                0.55252,                 1.0629,             0.00052768,             0.00052768,             0.00052768
                    127,                0.60758,                0.53246,                0.93845,                0.92283,                0.87944,                0.93012,                0.66738,                0.93196,                0.57482,                 1.0611,             0.00051849,             0.00051849,             0.00051849
